=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.03.10 14:20:57 =~=~=~=~=~=~=~=~=~=~=~=
Current Roll is:	-1.472689 degrees
Current Pitch is:	3.374109 degrees
Current Roll is:	-1.480336 degrees
Current Pitch is:	3.379032 degrees
Current Roll is:	-1.504810 degrees
Current Pitch is:	3.390843 degrees
Current Roll is:	-1.517058 degrees
Current Pitch is:	3.422132 degrees
Current Roll is:	-1.508540 degrees
Current Pitch is:	3.455297 degrees
Current Roll is:	-1.497177 degrees
Current Pitch is:	3.469384 degrees
Current Roll is:	-1.506013 degrees
Current Pitch is:	3.465433 degrees
Current Roll is:	-1.507714 degrees
Current Pitch is:	3.504880 degrees
Current Roll is:	-1.506158 degrees
Current Pitch is:	3.544261 degrees
Current Roll is:	-1.511775 degrees
Current Pitch is:	3.570077 degrees
Current Roll is:	-1.499578 degrees
Current Pitch is:	3.577543 degrees
Current Roll is:	-1.507859 degrees
Current Pitch is:	3.594142 degrees
Current Roll is:	-1.502724 degrees
Current Pitch is:	3.602651 degrees
Current Roll is:	-1.380900 degrees
Current Pitch is:	3.631016 degrees
Current Roll is:	-1.228571 degrees
Current Pitch is:	3.655405 degrees
Current Roll is:	-1.090320 degrees
Current Pitch is:	3.661611 degrees
Current Roll is:	-0.945462 degrees
Current Pitch is:	3.683363 degrees
Current Roll is:	-0.872345 degrees
Current Pitch is:	3.696878 degrees
Current Roll is:	-0.749760 degrees
Current Pitch is:	3.717040 degrees
Current Roll is:	-0.595002 degrees
Current Pitch is:	3.730757 degrees
Current Roll is:	-0.458373 degrees
Current Pitch is:	3.745811 degrees
Current Roll is:	-0.366972 degrees
Current Pitch is:	3.762068 degrees
Current Roll is:	-0.266144 degrees
Current Pitch is:	3.779678 degrees
Current Roll is:	-0.152075 degrees
Current Pitch is:	3.799664 degrees
Current Roll is:	-0.056129 degrees
Current Pitch is:	3.811578 degrees
Current Roll is:	0.007461 degrees
Current Pitch is:	3.830277 degrees
Current Roll is:	0.093292 degrees
Current Pitch is:	3.848849 degrees
Current Roll is:	0.208551 degrees
Current Pitch is:	3.866113 degrees
Current Roll is:	0.293228 degrees
Current Pitch is:	3.881448 degrees
Current Roll is:	0.394447 degrees
Current Pitch is:	3.898012 degrees
Current Roll is:	0.488550 degrees
Current Pitch is:	3.912673 degrees
Current Roll is:	0.572563 degrees
Current Pitch is:	3.931899 degrees
Current Roll is:	0.630269 degrees
Current Pitch is:	3.952609 degrees
Current Roll is:	0.685304 degrees
Current Pitch is:	3.975267 degrees
Current Roll is:	0.741663 degrees
Current Pitch is:	3.991426 degrees
Current Roll is:	0.813381 degrees
Current Pitch is:	4.008046 degrees
Current Roll is:	0.859887 degrees
Current Pitch is:	4.031360 degrees
Current Roll is:	0.886510 degrees
Current Pitch is:	4.044466 degrees
Current Roll is:	0.939922 degrees
Current Pitch is:	4.060885 degrees
Current Roll is:	0.994520 degrees
Current Pitch is:	4.073430 degrees
Current Roll is:	1.050689 degrees
Current Pitch is:	4.093184 degrees
Current Roll is:	1.116151 degrees
Current Pitch is:	4.107841 degrees
Current Roll is:	1.194719 degrees
Current Pitch is:	4.120629 degrees
Current Roll is:	1.260249 degrees
Current Pitch is:	4.136964 degrees
Current Roll is:	1.324734 degrees
Current Pitch is:	4.154165 degrees
Current Roll is:	1.372242 degrees
Current Pitch is:	4.180478 degrees
Current Roll is:	1.431575 degrees
Current Pitch is:	4.202082 degrees
Current Roll is:	1.541293 degrees
Current Pitch is:	4.218754 degrees
Current Roll is:	1.657464 degrees
Current Pitch is:	4.234295 degrees
Current Roll is:	1.743419 degrees
Current Pitch is:	4.242491 degrees
Current Roll is:	1.758637 degrees
Current Pitch is:	4.255149 degrees
Current Roll is:	1.801298 degrees
Current Pitch is:	4.269319 degrees
Current Roll is:	1.873892 degrees
Current Pitch is:	4.286408 degrees
Current Roll is:	1.932258 degrees
Current Pitch is:	4.298686 degrees
Current Roll is:	2.003681 degrees
Current Pitch is:	4.310573 degrees
Current Roll is:	2.097834 degrees
Current Pitch is:	4.325405 degrees
Current Roll is:	2.181413 degrees
Current Pitch is:	4.344463 degrees
Current Roll is:	2.257000 degrees
Current Pitch is:	4.361931 degrees
Current Roll is:	2.319890 degrees
Current Pitch is:	4.381554 degrees
Current Roll is:	2.313199 degrees
Current Pitch is:	4.396958 degrees
Current Roll is:	2.315814 degrees
Current Pitch is:	4.413285 degrees
Current Roll is:	2.369693 degrees
Current Pitch is:	4.436629 degrees
Current Roll is:	2.406033 degrees
Current Pitch is:	4.448339 degrees
Current Roll is:	2.427089 degrees
Current Pitch is:	4.463542 degrees
Current Roll is:	2.478959 degrees
Current Pitch is:	4.480158 degrees
Current Roll is:	2.520824 degrees
Current Pitch is:	4.493380 degrees
Current Roll is:	2.559045 degrees
Current Pitch is:	4.508108 degrees
Current Roll is:	2.617218 degrees
Current Pitch is:	4.521759 degrees
Current Roll is:	2.701815 degrees
Current Pitch is:	4.539369 degrees
Current Roll is:	2.785477 degrees
Current Pitch is:	4.560988 degrees
Current Roll is:	2.909111 degrees
Current Pitch is:	4.580897 degrees
Current Roll is:	3.060941 degrees
Current Pitch is:	4.598783 degrees
Current Roll is:	3.190190 degrees
Current Pitch is:	4.620919 degrees
Current Roll is:	3.260510 degrees
Current Pitch is:	4.641665 degrees
Current Roll is:	3.378051 degrees
Current Pitch is:	4.659227 degrees
Current Roll is:	3.483357 degrees
Current Pitch is:	4.681469 degrees
Current Roll is:	3.610358 degrees
Current Pitch is:	4.695529 degrees
Current Roll is:	3.818509 degrees
Current Pitch is:	4.723773 degrees
Current Roll is:	3.992293 degrees
Current Pitch is:	4.733643 degrees
Current Roll is:	4.069801 degrees
Current Pitch is:	4.771400 degrees
Current Roll is:	4.225868 degrees
Current Pitch is:	4.783059 degrees
Current Roll is:	4.332937 degrees
Current Pitch is:	4.722404 degrees
Current Roll is:	4.406959 degrees
Current Pitch is:	4.779030 degrees
Current Roll is:	4.626552 degrees
Current Pitch is:	4.823590 degrees
Current Roll is:	4.873789 degrees
Current Pitch is:	4.826150 degrees
Current Roll is:	4.877418 degrees
Current Pitch is:	4.761323 degrees
Current Roll is:	4.959935 degrees
